Id,Time[ns],Parallel: Items
0,2163834680.00000000000000000000,F1
1,2164205260.00000000000000000000,30
2,2164695380.00000000000000000000,00
3,2165215920.00000000000000000000,01
4,2166160500.00000000000000000000,F2
5,2166811680.00000000000000000000,30
6,2167298000.00000000000000000000,00
7,2167668240.00000000000000000000,01
8,2168409180.00000000000000000000,F4
9,2168779620.00000000000000000000,30
10,2169150240.00000000000000000000,02
11,2169521180.00000000000000000000,02
12,2169891660.00000000000000000000,00
13,2170262060.00000000000000000000,30
14,2170632580.00000000000000000000,60
15,2171002880.00000000000000000000,4C
16,2171743200.00000000000000000000,F7
17,2172113640.00000000000000000000,30
18,2172484240.00000000000000000000,02
19,2172854560.00000000000000000000,02
20,2173225700.00000000000000000000,08
21,2173965820.00000000000000000000,F0
22,2174336280.00000000000000000000,30
23,2174740560.00000000000000000000,75
24,2175745960.00000000000000000000,F2
25,2176146300.00000000000000000000,30
26,2176517540.00000000000000000000,01
27,2177151960.00000000000000000000,00
28,2177892800.00000000000000000000,F6
29,2178264020.00000000000000000000,30
30,2178633860.00000000000000000000,03
31,2179004160.00000000000000000000,00
32,2179744480.00000000000000000000,F6
33,2180114960.00000000000000000000,30
34,2180485560.00000000000000000000,0B
35,2180855860.00000000000000000000,01
36,2181596180.00000000000000000000,F6
37,2181967300.00000000000000000000,30
38,2182336500.00000000000000000000,0A
39,2182707540.00000000000000000000,00
40,2183447760.00000000000000000000,F6
41,2183818960.00000000000000000000,30
42,2184219980.00000000000000000000,01
43,2184883800.00000000000000000000,01
44,2185253660.00000000000000000000,00
45,2185623980.00000000000000000000,02
46,2185995220.00000000000000000000,01
47,2186364900.00000000000000000000,03
48,2186734740.00000000000000000000,02
49,2187105040.00000000000000000000,04
50,2187476280.00000000000000000000,03
51,2188217040.00000000000000000000,F2
52,2188586880.00000000000000000000,2F
53,2188957360.00000000000000000000,00
54,2189328360.00000000000000000000,00
55,2190067940.00000000000000000000,F1
56,2190439780.00000000000000000000,30
57,2190809020.00000000000000000000,0A
58,2191179960.00000000000000000000,40
59,2191920280.00000000000000000000,F1
60,2192290760.00000000000000000000,30
61,2192660600.00000000000000000000,09
62,2193031640.00000000000000000000,33
63,2193773220.00000000000000000000,F1
64,2194143060.00000000000000000000,30
65,2194513580.00000000000000000000,75
66,2194884620.00000000000000000000,7F
67,2195253860.00000000000000000000,7F
68,2195624160.00000000000000000000,7F
69,2195996020.00000000000000000000,7F
70,2197641020.00000000000000000000,B2
71,2198012120.00000000000000000000,05
72,2198382700.00000000000000000000,7F
73,2218389080.00000000000000000000,F2
74,2218759560.00000000000000000000,30
75,2219130160.00000000000000000000,01
76,2219501080.00000000000000000000,00
77,2220320260.00000000000000000000,B0
78,2220725760.00000000000000000000,06
79,2221134480.00000000000000000000,23
80,2221874700.00000000000000000000,B1
81,2222279940.00000000000000000000,06
82,2222649140.00000000000000000000,23
83,2223390620.00000000000000000000,B2
84,2223760940.00000000000000000000,06
85,2224128920.00000000000000000000,23
86,2224869760.00000000000000000000,B0
87,2225239940.00000000000000000000,0C
88,2225610440.00000000000000000000,40
89,2226351100.00000000000000000000,B2
90,2226720940.00000000000000000000,04
91,2227091520.00000000000000000000,40
92,2227832420.00000000000000000000,B1
93,2228202340.00000000000000000000,06
94,2228572720.00000000000000000000,27
95,2229313560.00000000000000000000,B2
96,2229683740.00000000000000000000,05
97,2230053620.00000000000000000000,7F
98,4585069820.00000000000000000000,92
99,4585440260.00000000000000000000,30
100,4585810860.00000000000000000000,13
101,7991014040.00000000000000000000,F1
102,7991401700.00000000000000000000,30
103,7991771680.00000000000000000000,20
104,7992141980.00000000000000000000,01
105,7992883580.00000000000000000000,B2
106,7993254040.00000000000000000000,01
107,7993623920.00000000000000000000,02
108,7994364500.00000000000000000000,F2
109,7994734980.00000000000000000000,30
110,7995104920.00000000000000000000,20
111,7995475200.00000000000000000000,01
112,9965460300.00000000000000000000,92
113,9965830780.00000000000000000000,30
114,9966200740.00000000000000000000,32
115,11024271980.00000000000000000000,92
116,11024656400.00000000000000000000,30
117,11025020300.00000000000000000000,29
118,12173947020.00000000000000000000,92
119,12174309900.00000000000000000000,30
120,12174674340.00000000000000000000,26
121,14642311960.00000000000000000000,92
122,14642674960.00000000000000000000,3C
123,14643038080.00000000000000000000,22
124,15686809880.00000000000000000000,92
125,15687195080.00000000000000000000,3C
126,15687560920.00000000000000000000,2D
127,16804510100.00000000000000000000,92
128,16804873580.00000000000000000000,3C
129,16805257360.00000000000000000000,26
130,20041502220.00000000000000000000,00
131,20041886720.00000000000000000000,70
132,20042250640.00000000000000000000,00
133,20047738160.00000000000000000000,F1
134,20048105800.00000000000000000000,20
135,20048486400.00000000000000000000,00
136,20048849380.00000000000000000000,00
